state_name,filename,country,state_code,country_code,north,east,south,west
Alsace,,France,,fr,,,,
Aquitaine,,France,,fr,,,,
Auvergne,,France,,fr,,,,
Basse-Normandie,,France,,fr,,,,
Bourgogne,,France,,fr,,,,
Bretagne,,France,,fr,,,,
Centre,,France,,fr,,,,
Champagne Ardenne,,France,,fr,,,,
Corse,,France,,fr,,,,
Franche Comte,,France,,fr,,,,
Guadeloupe,,France,,fr,,,,
Guyane,,France,,fr,,,,
Haute-Normandie,,France,,fr,,,,
Ile-de-France,,France,,fr,,,,
Languedoc-Roussillon,,France,,fr,,,,
Limousin,,France,,fr,,,,
Lorraine,,France,,fr,,,,
Martinique,,France,,fr,,,,
Mayotte,,France,,fr,,,,
Midi-Pyrenees,,France,,fr,,,,
Nord-Pas-de-Calais,,France,,fr,,,,
Pays de la Loire,,France,,fr,,,,
Picardie,,France,,fr,,,,
Poitou-Charentes,,France,,fr,,,,
Provence Alpes-Cote-d'Azur,,France,,fr,,,,
Reunion,,France,,fr,,,,
Rhone-Alpes,,France,,fr,,,,
Baden-Württemberg,,Germany,,de,,,,
Bayern,,Germany,,de,,,,
Berlin,,Germany,,de,,,,
Brandenburg (mit Berlin),,Germany,,de,,,,
Bremen,,Germany,,de,,,,
Hamburg,,Germany,,de,,,,
Hessen,,Germany,,de,,,,
Mecklenburg-Vorpommern,,Germany,,de,,,,
Niedersachsen,,Germany,,de,,,,
Nordrhein-Westfalen,,Germany,,de,,,,
Rheinland-Pfalz,,Germany,,de,,,,
Saarland,,Germany,,de,,,,
Sachsen,,Germany,,de,,,,
Sachsen-Anhalt,,Germany,,de,,,,
Schleswig-Holstein,,Germany,,de,,,,
Thüringen,,Germany,,de,,,,
England,,Great Britain,,gb,,,,
Scotland,,Great Britain,,gb,,,,
Wales,,Great Britain,,gb,,,,
Centro,,Italy,,it,,,,
Isole,,Italy,,it,,,,
Nord-Est,,Italy,,it,,,,
Nord-Ovest,,Italy,,it,,,,
Sud,,Italy,,it,,,,
Województwo dolnośląskie(Lower Silesian Voivodeship),,Poland,,pl,,,,
Województwo kujawsko-pomorskie(Kuyavian-Pomeranian Voivodeship),,Poland,,pl,,,,
Województwo łódzkie(Łódź Voivodeship),,Poland,,pl,,,,
Województwo lubelskie(Lublin Voivodeship),,Poland,,pl,,,,
Województwo lubuskie(Lubusz Voivodeship),,Poland,,pl,,,,
Województwo małopolskie(Lesser Poland Voivodeship),,Poland,,pl,,,,
Województwo mazowieckie(Mazovian Voivodeship),,Poland,,pl,,,,
Województwo opolskie(Opole Voivodeship),,Poland,,pl,,,,
Województwo podkarpackie(Subcarpathian Voivodeship),,Poland,,pl,,,,
Województwo podlaskie(Podlaskie Voivodeship),,Poland,,pl,,,,
Województwo pomorskie(Pomeranian Voivodeship),,Poland,,pl,,,,
Województwo śląskie(Silesian Voivodeship),,Poland,,pl,,,,
Województwo świętokrzyskie(Świętokrzyskie Voivodeship),,Poland,,pl,,,,
Województwo warmińsko-mazurskie(Warmian-Masurian Voivodeship),,Poland,,pl,,,,
Województwo wielkopolskie(Greater Poland Voivodeship),,Poland,,pl,,,,
Województwo zachodniopomorskie(West Pomeranian Voivodeship),,Poland,,pl,,,,
Central Federal District,,Russia,,ru,,,,
Crimean Federal District,,Russia,,ru,,,,
Far Eastern Federal District,,Russia,,ru,,,,
North Caucasus Federal District,,Russia,,ru,,,,
Northwestern Federal District,,Russia,,ru,,,,
Siberian Federal District,,Russia,,ru,,,,
South Federal District,,Russia,,ru,,,,
Ural Federal District,,Russia,,ru,,,,
Volga Federal District,,Russia,,ru,,,,
Kaliningrad,,Russia,,ru,,,,
